X_1,X_2,Y
16.678,13.018,45.537
6.583,-5.539,-1.17
-19.837,6.089,-3.646
-8.412,6.11,8.137
1.052,11.595,25.781
10.017,-22.265,-30.465
1.994,21.24,48.489
-3.822,-3.461,-7.132
-5.573,-7.109,-18.003
7.508,-8.368,-6.904
1.7,11.161,27.359
15.732,4.148,28.331
17.54,10.986,41.203
12.65,-8.924,-2.492
-9.358,-23.222,-52.897
-3.59,4.587,11.883
13.125,-44.929,-73.174
1.888,-4.395,-4.09
-2.302,10.603,18.391
-8.603,7.327,10.515
12.797,4.033,27.485
-2.705,6.012,8.98
-9.624,-0.792,-7.217
-4.085,2.522,2.084
1.509,10.054,26.036
-15.971,10.464,8.775
19.468,-3.081,18.22
-17.363,-3.091,-21.752
16.753,11.153,42.169
22.067,-14.549,-3.453
-13.069,14.763,16.446
-26.414,-5.935,-34.257
0.223,-1.053,2.003
-1.802,-9.015,-19.218
-17.604,17.663,19.759
-8.354,4.436,5.95
-10.17,15.321,21.28
-25.637,-10.752,-41.203
8.862,-2.271,9.665
4.965,3.364,15.981
0.688,-3.453,-5.271
-11.478,-1.988,-14.752
-1.683,-4.851,-9.04
-6.436,8.969,15.971
-0.241,-2.644,-3.787
17.23,1.437,22.689
-3.791,6.05,8.458
7.255,-7.614,-6.033
2.948,13.978,34.966
8.012,-23.824,-35.481
18.637,9.091,39.185
-5.601,9.672,18.838
-6.305,-21.254,-46.669
1.629,1.594,6.158
-16.105,-7.601,-28.233
12.9,-7.245,2.76
-0.901,1.804,5.042
3.935,-6.912,-4.707
-7.173,10.929,18.721
-1.899,1.018,5.362
11.192,-3.977,6.22
3.462,4.134,16.373
18.418,-9.191,3.191
-4.441,-23.231,-48.467
-5.043,6.76,10.778
17.807,10.758,41.742
1.103,2.169,8.878
0.45,-2.229,-0.59
-4.054,-4.006,-10.605
-3.873,-22.642,-45.663
-6.694,14.277,24.178
11.288,-4.464,3.86
-6.76,-8.843,-25.238
14.812,12.035,41.387
5.446,10.025,29.126
2.283,-6.257,-7.508
11.501,1.132,17.785
13.628,11.697,41.769
-8.89,-9.746,-24.905
-5.564,30.435,58.365
-8.829,1.671,-3.355
25.035,-10.756,8.633
-9.084,8.775,11.394
18.194,-16.006,-12.068
-6.034,-2.231,-8.934
14.496,1.312,21.032
-6.539,6.046,7.856
15.234,23.679,66.515
5.477,-6.249,-2.746
0.998,-13.737,-20.534
4.553,-5.622,-4.093
-5.634,-22.807,-49.213
5.768,-7.449,-6.17
11.264,-2.312,10.776
-9.577,5.976,4.254
1.366,-4.774,-6.653
-6.411,-11.564,-26.648
3.225,-16.366,-27.631
-8.897,-5.589,-19.217
10.436,6.772,26.47
-2.288,10.478,20.462
-1.745,-13.234,-25.165
0.602,10.464,25.384
-10.493,4.465,2.748
13.007,-3.09,6.86
-3.164,-4.254,-9.032
-15.715,1.818,-6.248
8.095,-0.208,9.905
-11.902,-19.966,-46.257
6.932,-21.652,-34.381
-21.159,-1.408,-19.603
-1.375,-12.696,-22.612
4.327,7.467,20.463
8.25,4.066,20.575
6.902,-4.52,0.589
3.755,-28.649,-51.316
7.582,7.337,24.428
14.837,10.7,38.216
13.653,9.474,35.417
5.079,-9.69,-11.571
7.942,-10.121,-8.862
-5.001,0.471,-0.739
7.227,-2.74,4.701
-3.304,13.142,27.022
-2.037,-8.799,-18.348
-6.904,-4.077,-14.227
-12.763,-5.351,-20.141
-0.207,-4.141,-7.066
5.516,1.102,10.924
4.584,-16.002,-22.635
13.256,10.871,38.976
1.976,5.425,16.005
-9.194,9.092,11.411
-16.081,15.504,16.426
-2.995,2.604,5.193
0.935,5.947,14.702
0.604,-16.915,-30.306
17.558,0.627,20.328
-13.196,3.026,-5.874
10.562,-16.949,-18.962
-3.125,4.082,10.131
1.671,4.829,12.91
-21.57,3.325,-11.109
-9.763,-9.241,-24.963
4.23,0.657,9.213
-15.47,-11.913,-38.244
0.731,-4.349,-4.643
14.859,-8.583,-2.309
0.252,8.566,22.985
-1.36,1.911,4.57
2.015,22.58,49.644
11.186,-2.738,9.871
8.642,0.402,10.465
-2.877,16.852,32.854
8.814,0.413,12.831
17.559,-17.029,-13.809
-1.631,-7.061,-12.862
11.015,-19.048,-23.26
-0.092,3.975,12.665
5.115,-4.692,-1.287
4.268,10.451,28.87
-6.119,9.393,17.303
4.808,-23.971,-42.34
-2.812,5.797,11.54
-20.528,-2.979,-23.953
7.696,28.619,67.931
-22.06,-2.896,-25.552
-17.424,-4.997,-23.478
1.428,-9.269,-15.589
19.782,-3.914,14.081
